current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7526,2024-07-20T14:18:14,23397,28218,485,858
7526,2024-07-20T14:18:15,23397,28218,485,858
7526,2024-07-20T14:18:16,23397,28218,485,858
260080,2024-07-20T14:18:17,23397,28218,485,858
260080,2024-07-20T14:18:18,23397,28218,485,858
260080,2024-07-20T14:18:19,23397,28218,485,858
258762,2024-07-20T14:18:20,23398,28218,486,858
258762,2024-07-20T14:18:21,23398,28218,486,858
258762,2024-07-20T14:18:22,23398,28218,486,858
257785,2024-07-20T14:18:23,23398,28218,486,858
257785,2024-07-20T14:18:24,23398,28218,486,858
256882,2024-07-20T14:18:25,23398,28218,486,858
256882,2024-07-20T14:18:26,23398,28218,486,858
256882,2024-07-20T14:18:27,23398,28218,486,858
256132,2024-07-20T14:18:29,23398,28218,486,858
256132,2024-07-20T14:18:30,23398,28218,486,858
256132,2024-07-20T14:18:31,23398,28218,486,858
255317,2024-07-20T14:18:32,23398,28218,486,858
255317,2024-07-20T14:18:33,23398,28218,486,858
255317,2024-07-20T14:18:34,23399,28218,487,858
247767,2024-07-20T14:18:35,23399,28218,487,858
247767,2024-07-20T14:18:36,23399,28218,487,858
247767,2024-07-20T14:18:37,23399,28218,487,858
253937,2024-07-20T14:18:38,23399,28218,487,858
253937,2024-07-20T14:18:39,23399,28218,487,858
233582,2024-07-20T14:18:40,23399,28218,487,858
233582,2024-07-20T14:18:41,23399,28218,487,858
233582,2024-07-20T14:18:43,23399,28218,487,858
169952,2024-07-20T14:18:44,23399,28218,487,858
169952,2024-07-20T14:18:45,23399,28218,487,858
169952,2024-07-20T14:18:46,23399,28218,487,858
126532,2024-07-20T14:18:47,23399,28218,487,858
126532,2024-07-20T14:18:48,23399,28218,487,858
126532,2024-07-20T14:18:49,23399,28218,487,858
96927,2024-07-20T14:18:50,23399,28218,487,858
96927,2024-07-20T14:18:51,23399,28218,487,858
96927,2024-07-20T14:18:52,23399,28218,487,858
89763,2024-07-20T14:18:53,23399,28218,487,858
89763,2024-07-20T14:18:54,23399,28218,487,858
94241,2024-07-20T14:18:55,23400,28218,488,858
94241,2024-07-20T14:18:57,23400,28218,488,858
94241,2024-07-20T14:18:58,23400,28218,488,858
94367,2024-07-20T14:18:59,23400,28218,488,858
94367,2024-07-20T14:19:00,23400,28219,488,859
94367,2024-07-20T14:19:01,23400,28219,488,859
88285,2024-07-20T14:19:02,23400,28219,488,859
88285,2024-07-20T14:19:03,23400,28219,488,859
88285,2024-07-20T14:19:04,23400,28219,488,859
71687,2024-07-20T14:19:05,23400,28219,488,859
58115,2024-07-20T14:19:08,23400,28219,488,859
58115,2024-07-20T14:19:09,23400,28219,488,859
58115,2024-07-20T14:19:10,23400,28219,488,859
41964,2024-07-20T14:19:11,23400,28219,488,859
41964,2024-07-20T14:19:12,23400,28219,488,859
41964,2024-07-20T14:19:13,23400,28219,488,859
