current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
12631,2024-07-20T18:03:49,23742,28443,830,1083
12631,2024-07-20T18:03:50,23742,28443,830,1083
266029,2024-07-20T18:03:51,23743,28443,831,1083
266029,2024-07-20T18:03:52,23743,28443,831,1083
266029,2024-07-20T18:03:53,23743,28443,831,1083
264252,2024-07-20T18:03:54,23743,28443,831,1083
264252,2024-07-20T18:03:55,23743,28443,831,1083
262959,2024-07-20T18:03:56,23743,28443,831,1083
262959,2024-07-20T18:03:57,23743,28443,831,1083
262959,2024-07-20T18:03:58,23743,28443,831,1083
262177,2024-07-20T18:04:00,23743,28444,831,1084
262177,2024-07-20T18:04:01,23743,28444,831,1084
262177,2024-07-20T18:04:02,23743,28444,831,1084
261502,2024-07-20T18:04:03,23743,28444,831,1084
261502,2024-07-20T18:04:04,23743,28444,831,1084
261502,2024-07-20T18:04:05,23744,28444,832,1084
260957,2024-07-20T18:04:06,23744,28444,832,1084
260957,2024-07-20T18:04:07,23744,28444,832,1084
260957,2024-07-20T18:04:08,23744,28444,832,1084
242556,2024-07-20T18:04:09,23744,28444,832,1084
242556,2024-07-20T18:04:10,23744,28444,832,1084
233814,2024-07-20T18:04:11,23744,28444,832,1084
233814,2024-07-20T18:04:12,23744,28444,832,1084
233814,2024-07-20T18:04:14,23744,28444,832,1084
237068,2024-07-20T18:04:15,23744,28444,832,1084
237068,2024-07-20T18:04:16,23744,28444,832,1084
237068,2024-07-20T18:04:17,23744,28444,832,1084
237879,2024-07-20T18:04:18,23744,28444,832,1084
237879,2024-07-20T18:04:19,23744,28444,832,1084
237879,2024-07-20T18:04:20,23745,28444,833,1084
235292,2024-07-20T18:04:21,23745,28444,833,1084
235292,2024-07-20T18:04:22,23745,28444,833,1084
235292,2024-07-20T18:04:23,23745,28444,833,1084
198890,2024-07-20T18:04:24,23745,28444,833,1084
198890,2024-07-20T18:04:25,23745,28444,833,1084
148650,2024-07-20T18:04:26,23745,28444,833,1084
148650,2024-07-20T18:04:28,23745,28444,833,1084
148650,2024-07-20T18:04:29,23745,28444,833,1084
106216,2024-07-20T18:04:30,23745,28444,833,1084
106216,2024-07-20T18:04:31,23745,28444,833,1084
106216,2024-07-20T18:04:32,23745,28444,833,1084
88753,2024-07-20T18:04:33,23745,28444,833,1084
88753,2024-07-20T18:04:34,23745,28444,833,1084
88753,2024-07-20T18:04:35,23745,28444,833,1084
89627,2024-07-20T18:04:36,23745,28444,833,1084
89627,2024-07-20T18:04:37,23745,28444,833,1084
89627,2024-07-20T18:04:38,23745,28444,833,1084
94800,2024-07-20T18:04:39,23745,28444,833,1084
94800,2024-07-20T18:04:40,23745,28444,833,1084
97301,2024-07-20T18:04:42,23745,28444,833,1084
97301,2024-07-20T18:04:43,23745,28444,833,1084
97301,2024-07-20T18:04:44,23745,28444,833,1084
76817,2024-07-20T18:04:45,23745,28444,833,1084
76817,2024-07-20T18:04:46,23745,28444,833,1084
76817,2024-07-20T18:04:47,23745,28444,833,1084
70633,2024-07-20T18:04:48,23745,28444,833,1084
70633,2024-07-20T18:04:49,23745,28444,833,1084
70633,2024-07-20T18:04:50,23745,28444,833,1084
58050,2024-07-20T18:04:51,23745,28444,833,1084
58050,2024-07-20T18:04:52,23745,28444,833,1084
55846,2024-07-20T18:04:53,23745,28444,833,1084
55846,2024-07-20T18:04:55,23746,28444,834,1084
55846,2024-07-20T18:04:56,23746,28444,834,1084
52950,2024-07-20T18:04:57,23746,28444,834,1084
52950,2024-07-20T18:04:58,23746,28444,834,1084
52950,2024-07-20T18:04:59,23746,28444,834,1084
46640,2024-07-20T18:05:00,23746,28445,834,1085
46640,2024-07-20T18:05:01,23746,28445,834,1085
46640,2024-07-20T18:05:02,23746,28445,834,1085
49405,2024-07-20T18:05:03,23746,28445,834,1085
49405,2024-07-20T18:05:04,23746,28445,834,1085
44751,2024-07-20T18:05:06,23746,28445,834,1085
44751,2024-07-20T18:05:07,23746,28445,834,1085
41681,2024-07-20T18:05:08,23746,28445,834,1085
41681,2024-07-20T18:05:10,23746,28445,834,1085
41681,2024-07-20T18:05:11,23746,28445,834,1085
40573,2024-07-20T18:05:12,23746,28445,834,1085
40573,2024-07-20T18:05:13,23746,28445,834,1085
40573,2024-07-20T18:05:14,23746,28445,834,1085
51774,2024-07-20T18:05:15,23746,28445,834,1085
