current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
259210,2024-07-09T13:10:53,9749,12310,888,790
259210,2024-07-09T13:10:54,9749,12310,888,790
257099,2024-07-09T13:10:55,9749,12310,888,790
257099,2024-07-09T13:10:56,9749,12310,888,790
256057,2024-07-09T13:10:58,9749,12310,888,790
256057,2024-07-09T13:10:59,9749,12310,888,790
256057,2024-07-09T13:11:00,9750,12311,889,791
255062,2024-07-09T13:11:01,9750,12311,889,791
255062,2024-07-09T13:11:02,9750,12311,889,791
255062,2024-07-09T13:11:03,9750,12311,889,791
254449,2024-07-09T13:11:04,9750,12311,889,791
254449,2024-07-09T13:11:05,9750,12311,889,791
254449,2024-07-09T13:11:06,9750,12311,889,791
253633,2024-07-09T13:11:07,9750,12311,889,791
253633,2024-07-09T13:11:08,9750,12311,889,791
211237,2024-07-09T13:11:10,9750,12311,889,791
211237,2024-07-09T13:11:11,9750,12311,889,791
211237,2024-07-09T13:11:12,9750,12311,889,791
155633,2024-07-09T13:11:13,9750,12311,889,791
155633,2024-07-09T13:11:14,9750,12311,889,791
155633,2024-07-09T13:11:15,9750,12311,889,791
100713,2024-07-09T13:11:16,9750,12311,889,791
100713,2024-07-09T13:11:17,9750,12311,889,791
100713,2024-07-09T13:11:18,9751,12311,890,791
76924,2024-07-09T13:11:19,9751,12311,890,791
76924,2024-07-09T13:11:20,9751,12311,890,791
76924,2024-07-09T13:11:21,9751,12311,890,791
86689,2024-07-09T13:11:23,9751,12311,890,791
86689,2024-07-09T13:11:24,9751,12311,890,791
97787,2024-07-09T13:11:25,9751,12311,890,791
97787,2024-07-09T13:11:26,9751,12311,890,791
97787,2024-07-09T13:11:27,9751,12311,890,791
96756,2024-07-09T13:11:28,9751,12311,890,791
96756,2024-07-09T13:11:29,9751,12311,890,791
96756,2024-07-09T13:11:30,9751,12311,890,791
75502,2024-07-09T13:11:31,9751,12311,890,791
75502,2024-07-09T13:11:32,9751,12311,890,791
75502,2024-07-09T13:11:33,9751,12311,890,791
66188,2024-07-09T13:11:34,9751,12311,890,791
66188,2024-07-09T13:11:36,9751,12311,890,791
66188,2024-07-09T13:11:37,9751,12311,890,791
49378,2024-07-09T13:11:38,9751,12311,890,791
49378,2024-07-09T13:11:39,9751,12311,890,791
50831,2024-07-09T13:11:40,9751,12311,890,791
50831,2024-07-09T13:11:41,9751,12311,890,791
50831,2024-07-09T13:11:42,9751,12311,890,791
58074,2024-07-09T13:11:43,9751,12311,890,791
58074,2024-07-09T13:11:44,9751,12311,890,791
58074,2024-07-09T13:11:45,9751,12311,890,791
55687,2024-07-09T13:11:46,9751,12311,890,791
55687,2024-07-09T13:11:47,9751,12311,890,791
55687,2024-07-09T13:11:48,9751,12311,890,791
60640,2024-07-09T13:11:50,9751,12311,890,791
60640,2024-07-09T13:11:51,9751,12311,890,791
60640,2024-07-09T13:11:52,9751,12311,890,791
59401,2024-07-09T13:11:53,9751,12311,890,791
59401,2024-07-09T13:11:54,9751,12311,890,791
58027,2024-07-09T13:11:55,9751,12311,890,791
58027,2024-07-09T13:11:56,9751,12311,890,791
58027,2024-07-09T13:11:57,9751,12311,890,791
54274,2024-07-09T13:11:58,9751,12311,890,791
54274,2024-07-09T13:11:59,9751,12311,890,791
54274,2024-07-09T13:12:00,9751,12312,890,792
45167,2024-07-09T13:12:01,9751,12312,890,792
45167,2024-07-09T13:12:03,9751,12312,890,792
45167,2024-07-09T13:12:04,9751,12312,890,792
51432,2024-07-09T13:12:05,9751,12312,890,792
51432,2024-07-09T13:12:06,9751,12312,890,792
54659,2024-07-09T13:12:07,9751,12312,890,792
54659,2024-07-09T13:12:08,9751,12312,890,792
54659,2024-07-09T13:12:09,9751,12312,890,792
56573,2024-07-09T13:12:10,9751,12312,890,792
56573,2024-07-09T13:12:11,9751,12312,890,792
56573,2024-07-09T13:12:12,9751,12312,890,792
45033,2024-07-09T13:12:13,9751,12312,890,792
45033,2024-07-09T13:12:14,9751,12312,890,792
45033,2024-07-09T13:12:16,9751,12312,890,792
41479,2024-07-09T13:12:17,9751,12312,890,792
41479,2024-07-09T13:12:18,9752,12312,891,792
39421,2024-07-09T13:12:19,9752,12312,891,792
39421,2024-07-09T13:12:20,9752,12312,891,792
39421,2024-07-09T13:12:21,9752,12312,891,792
64909,2024-07-09T13:12:22,9752,12312,891,792
64909,2024-07-09T13:12:23,9752,12312,891,792
64909,2024-07-09T13:12:24,9752,12312,891,792
66636,2024-07-09T13:12:25,9752,12312,891,792
66636,2024-07-09T13:12:26,9752,12312,891,792
66636,2024-07-09T13:12:27,9752,12312,891,792
49448,2024-07-09T13:12:28,9752,12312,891,792
49448,2024-07-09T13:12:30,9752,12312,891,792
49448,2024-07-09T13:12:31,9752,12312,891,792
54958,2024-07-09T13:12:32,9752,12312,891,792
54958,2024-07-09T13:12:33,9752,12312,891,792
59994,2024-07-09T13:12:34,9752,12312,891,792
59994,2024-07-09T13:12:35,9752,12312,891,792
59994,2024-07-09T13:12:36,9752,12312,891,792
56609,2024-07-09T13:12:37,9752,12312,891,792
56609,2024-07-09T13:12:38,9752,12312,891,792
56609,2024-07-09T13:12:39,9752,12312,891,792
51642,2024-07-09T13:12:40,9752,12312,891,792
51642,2024-07-09T13:12:41,9752,12312,891,792
51642,2024-07-09T13:12:43,9752,12312,891,792
51827,2024-07-09T13:12:44,9752,12312,891,792
51827,2024-07-09T13:12:45,9752,12312,891,792
51827,2024-07-09T13:12:46,9752,12312,891,792
56776,2024-07-09T13:12:47,9752,12312,891,792
56776,2024-07-09T13:12:48,9752,12312,891,792
56087,2024-07-09T13:12:49,9752,12312,891,792
56087,2024-07-09T13:12:50,9752,12312,891,792
56087,2024-07-09T13:12:51,9752,12312,891,792
62600,2024-07-09T13:12:52,9752,12312,891,792
62600,2024-07-09T13:12:53,9752,12312,891,792
62600,2024-07-09T13:12:54,9752,12312,891,792
58031,2024-07-09T13:12:55,9752,12312,891,792
58031,2024-07-09T13:12:57,9752,12312,891,792
58031,2024-07-09T13:12:58,9752,12312,891,792
51882,2024-07-09T13:12:59,9752,12312,891,792
51882,2024-07-09T13:13:00,9752,12313,891,793
64110,2024-07-09T13:13:01,9752,12313,891,793
64110,2024-07-09T13:13:02,9752,12313,891,793
64110,2024-07-09T13:13:03,9752,12313,891,793
63276,2024-07-09T13:13:04,9752,12313,891,793
63276,2024-07-09T13:13:05,9752,12313,891,793
63276,2024-07-09T13:13:06,9752,12313,891,793
51122,2024-07-09T13:13:07,9752,12313,891,793
51122,2024-07-09T13:13:08,9752,12313,891,793
51122,2024-07-09T13:13:09,9752,12313,891,793
55013,2024-07-09T13:13:11,9752,12313,891,793
55013,2024-07-09T13:13:12,9752,12313,891,793
55013,2024-07-09T13:13:13,9752,12313,891,793
61191,2024-07-09T13:13:14,9752,12313,891,793
61191,2024-07-09T13:13:15,9752,12313,891,793
75271,2024-07-09T13:13:16,9752,12313,891,793
75271,2024-07-09T13:13:17,9752,12313,891,793
75271,2024-07-09T13:13:18,9752,12313,891,793
73337,2024-07-09T13:13:19,9753,12313,892,793
73337,2024-07-09T13:13:20,9753,12313,892,793
73337,2024-07-09T13:13:21,9753,12313,892,793
60531,2024-07-09T13:13:22,9753,12313,892,793
60531,2024-07-09T13:13:24,9753,12313,892,793
60531,2024-07-09T13:13:25,9753,12313,892,793
55341,2024-07-09T13:13:26,9753,12313,892,793
55341,2024-07-09T13:13:27,9753,12313,892,793
59893,2024-07-09T13:13:28,9753,12313,892,793
59893,2024-07-09T13:13:29,9753,12313,892,793
59893,2024-07-09T13:13:30,9753,12313,892,793
62443,2024-07-09T13:13:31,9753,12313,892,793
62443,2024-07-09T13:13:32,9753,12313,892,793
62443,2024-07-09T13:13:33,9753,12313,892,793
58735,2024-07-09T13:13:34,9753,12313,892,793
58735,2024-07-09T13:13:35,9753,12313,892,793
58735,2024-07-09T13:13:36,9753,12313,892,793
61120,2024-07-09T13:13:38,9753,12313,892,793
61120,2024-07-09T13:13:39,9753,12313,892,793
61120,2024-07-09T13:13:40,9753,12313,892,793
56420,2024-07-09T13:13:41,9753,12313,892,793
56420,2024-07-09T13:13:42,9753,12313,892,793
60259,2024-07-09T13:13:43,9753,12313,892,793
60259,2024-07-09T13:13:44,9753,12313,892,793
60259,2024-07-09T13:13:45,9753,12313,892,793
61961,2024-07-09T13:13:46,9753,12313,892,793
61961,2024-07-09T13:13:47,9753,12313,892,793
61961,2024-07-09T13:13:48,9753,12313,892,793
62434,2024-07-09T13:13:49,9753,12313,892,793
62434,2024-07-09T13:13:50,9753,12313,892,793
62434,2024-07-09T13:13:52,9753,12313,892,793
60312,2024-07-09T13:13:53,9753,12313,892,793
60312,2024-07-09T13:13:54,9753,12313,892,793
60312,2024-07-09T13:13:55,9753,12313,892,793
60995,2024-07-09T13:13:56,9753,12313,892,793
60995,2024-07-09T13:13:57,9753,12313,892,793
63717,2024-07-09T13:13:58,9753,12313,892,793
63717,2024-07-09T13:13:59,9753,12313,892,793
63717,2024-07-09T13:14:00,9753,12314,892,794
70617,2024-07-09T13:14:01,9753,12314,892,794
70617,2024-07-09T13:14:02,9753,12314,892,794
70617,2024-07-09T13:14:03,9753,12314,892,794
65742,2024-07-09T13:14:05,9753,12314,892,794
65742,2024-07-09T13:14:06,9753,12314,892,794
65742,2024-07-09T13:14:07,9753,12314,892,794
61477,2024-07-09T13:14:08,9753,12314,892,794
61477,2024-07-09T13:14:09,9753,12314,892,794
61477,2024-07-09T13:14:10,9753,12314,892,794
62466,2024-07-09T13:14:11,9753,12314,892,794
62466,2024-07-09T13:14:12,9753,12314,892,794
60321,2024-07-09T13:14:13,9753,12314,892,794
60321,2024-07-09T13:14:14,9753,12314,892,794
60321,2024-07-09T13:14:15,9753,12314,892,794
59124,2024-07-09T13:14:16,9753,12314,892,794
59124,2024-07-09T13:14:17,9754,12314,893,794
59124,2024-07-09T13:14:19,9754,12314,893,794
60884,2024-07-09T13:14:20,9754,12314,893,794
60884,2024-07-09T13:14:21,9754,12314,893,794
60884,2024-07-09T13:14:22,9754,12314,893,794
66573,2024-07-09T13:14:23,9754,12314,893,794
66573,2024-07-09T13:14:24,9754,12314,893,794
71087,2024-07-09T13:14:25,9754,12314,893,794
71087,2024-07-09T13:14:26,9754,12314,893,794
71087,2024-07-09T13:14:27,9754,12314,893,794
67737,2024-07-09T13:14:28,9754,12314,893,794
67737,2024-07-09T13:14:29,9754,12314,893,794
67737,2024-07-09T13:14:30,9754,12314,893,794
47650,2024-07-09T13:14:32,9754,12314,893,794
47650,2024-07-09T13:14:33,9754,12314,893,794
47650,2024-07-09T13:14:34,9754,12314,893,794
39784,2024-07-09T13:14:35,9754,12314,893,794
39784,2024-07-09T13:14:36,9754,12314,893,794
39784,2024-07-09T13:14:37,9754,12314,893,794
44201,2024-07-09T13:14:38,9754,12314,893,794
44201,2024-07-09T13:14:39,9754,12314,893,794
58118,2024-07-09T13:14:40,9754,12314,893,794
58118,2024-07-09T13:14:41,9754,12314,893,794
58118,2024-07-09T13:14:42,9754,12314,893,794
57228,2024-07-09T13:14:43,9754,12314,893,794
57228,2024-07-09T13:14:45,9754,12314,893,794
57228,2024-07-09T13:14:46,9754,12314,893,794
65690,2024-07-09T13:14:47,9754,12314,893,794
65690,2024-07-09T13:14:48,9754,12314,893,794
65690,2024-07-09T13:14:49,9754,12314,893,794
54675,2024-07-09T13:14:50,9754,12314,893,794
54675,2024-07-09T13:14:51,9754,12314,893,794
54675,2024-07-09T13:14:52,9754,12314,893,794
58550,2024-07-09T13:14:53,9754,12314,893,794
