current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7591,2024-07-21T15:01:11,24168,29701,358,901
139265,2024-07-21T15:01:12,24168,29701,358,901
139265,2024-07-21T15:01:13,24168,29701,358,901
257680,2024-07-21T15:01:14,24168,29701,358,901
257680,2024-07-21T15:01:15,24168,29701,358,901
257680,2024-07-21T15:01:16,24168,29701,358,901
256553,2024-07-21T15:01:18,24168,29701,358,901
256553,2024-07-21T15:01:19,24168,29701,358,901
256553,2024-07-21T15:01:20,24168,29701,358,901
255604,2024-07-21T15:01:21,24168,29701,358,901
255604,2024-07-21T15:01:22,24168,29701,358,901
255604,2024-07-21T15:01:23,24169,29701,359,901
254830,2024-07-21T15:01:24,24169,29701,359,901
254830,2024-07-21T15:01:25,24169,29701,359,901
254830,2024-07-21T15:01:26,24169,29701,359,901
253981,2024-07-21T15:01:27,24169,29701,359,901
253981,2024-07-21T15:01:28,24169,29701,359,901
240958,2024-07-21T15:01:29,24169,29701,359,901
240958,2024-07-21T15:01:30,24169,29701,359,901
240958,2024-07-21T15:01:31,24169,29701,359,901
196453,2024-07-21T15:01:33,24169,29701,359,901
196453,2024-07-21T15:01:34,24169,29701,359,901
196453,2024-07-21T15:01:35,24169,29701,359,901
138762,2024-07-21T15:01:36,24169,29701,359,901
138762,2024-07-21T15:01:37,24169,29701,359,901
138762,2024-07-21T15:01:38,24169,29701,359,901
97198,2024-07-21T15:01:39,24169,29701,359,901
97198,2024-07-21T15:01:40,24169,29701,359,901
97198,2024-07-21T15:01:41,24169,29701,359,901
87197,2024-07-21T15:01:42,24169,29701,359,901
87197,2024-07-21T15:01:43,24170,29701,360,901
106325,2024-07-21T15:01:44,24170,29701,360,901
106325,2024-07-21T15:01:46,24170,29701,360,901
106325,2024-07-21T15:01:47,24170,29701,360,901
99621,2024-07-21T15:01:48,24170,29701,360,901
99621,2024-07-21T15:01:49,24170,29701,360,901
99621,2024-07-21T15:01:50,24170,29701,360,901
90574,2024-07-21T15:01:51,24170,29701,360,901
90574,2024-07-21T15:01:52,24170,29701,360,901
90574,2024-07-21T15:01:53,24170,29701,360,901
73655,2024-07-21T15:01:54,24170,29701,360,901
73655,2024-07-21T15:01:55,24170,29701,360,901
58182,2024-07-21T15:01:56,24170,29701,360,901
58182,2024-07-21T15:01:57,24170,29701,360,901
58182,2024-07-21T15:01:58,24170,29701,360,901
51011,2024-07-21T15:02:00,24170,29702,360,902
51011,2024-07-21T15:02:01,24170,29702,360,902
51011,2024-07-21T15:02:02,24170,29702,360,902
53795,2024-07-21T15:02:03,24170,29702,360,902
53795,2024-07-21T15:02:04,24170,29702,360,902
53795,2024-07-21T15:02:05,24170,29702,360,902
53673,2024-07-21T15:02:06,24170,29702,360,902
53673,2024-07-21T15:02:07,24170,29702,360,902
53673,2024-07-21T15:02:08,24170,29702,360,902
53458,2024-07-21T15:02:09,24170,29702,360,902
53458,2024-07-21T15:02:10,24170,29702,360,902
48202,2024-07-21T15:02:11,24170,29702,360,902
48202,2024-07-21T15:02:12,24170,29702,360,902
48202,2024-07-21T15:02:14,24170,29702,360,902
48628,2024-07-21T15:02:15,24170,29702,360,902
48628,2024-07-21T15:02:16,24170,29702,360,902
48628,2024-07-21T15:02:17,24170,29702,360,902
61177,2024-07-21T15:02:18,24170,29702,360,902
61177,2024-07-21T15:02:19,24170,29702,360,902
61177,2024-07-21T15:02:20,24170,29702,360,902
58237,2024-07-21T15:02:21,24170,29702,360,902
58237,2024-07-21T15:02:22,24170,29702,360,902
58237,2024-07-21T15:02:23,24170,29702,360,902
43056,2024-07-21T15:02:24,24170,29702,360,902
43056,2024-07-21T15:02:25,24170,29702,360,902
64010,2024-07-21T15:02:26,24170,29702,360,902
