current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7650,2024-07-20T16:57:05,23655,28377,743,1017
7650,2024-07-20T16:57:06,23655,28377,743,1017
7650,2024-07-20T16:57:07,23655,28377,743,1017
262003,2024-07-20T16:57:08,23655,28377,743,1017
262003,2024-07-20T16:57:10,23655,28377,743,1017
262003,2024-07-20T16:57:11,23655,28377,743,1017
260308,2024-07-20T16:57:12,23655,28377,743,1017
260308,2024-07-20T16:57:13,23655,28377,743,1017
259255,2024-07-20T16:57:14,23655,28377,743,1017
259255,2024-07-20T16:57:15,23656,28377,744,1017
259255,2024-07-20T16:57:16,23656,28377,744,1017
258314,2024-07-20T16:57:17,23656,28377,744,1017
258314,2024-07-20T16:57:18,23656,28377,744,1017
258314,2024-07-20T16:57:19,23656,28377,744,1017
257458,2024-07-20T16:57:20,23656,28377,744,1017
257458,2024-07-20T16:57:21,23656,28377,744,1017
257458,2024-07-20T16:57:22,23656,28377,744,1017
256511,2024-07-20T16:57:24,23656,28377,744,1017
256511,2024-07-20T16:57:25,23656,28377,744,1017
256511,2024-07-20T16:57:26,23656,28377,744,1017
255867,2024-07-20T16:57:27,23656,28377,744,1017
255867,2024-07-20T16:57:28,23656,28377,744,1017
255080,2024-07-20T16:57:29,23657,28377,745,1017
255080,2024-07-20T16:57:30,23657,28377,745,1017
255080,2024-07-20T16:57:31,23657,28377,745,1017
243702,2024-07-20T16:57:32,23657,28377,745,1017
243702,2024-07-20T16:57:33,23657,28377,745,1017
243702,2024-07-20T16:57:34,23657,28377,745,1017
230598,2024-07-20T16:57:35,23657,28377,745,1017
230598,2024-07-20T16:57:36,23657,28377,745,1017
230598,2024-07-20T16:57:37,23657,28377,745,1017
195216,2024-07-20T16:57:39,23657,28377,745,1017
195216,2024-07-20T16:57:40,23657,28377,745,1017
195216,2024-07-20T16:57:41,23657,28377,745,1017
152216,2024-07-20T16:57:42,23657,28377,745,1017
152216,2024-07-20T16:57:43,23657,28377,745,1017
103029,2024-07-20T16:57:44,23657,28377,745,1017
103029,2024-07-20T16:57:45,23657,28377,745,1017
103029,2024-07-20T16:57:46,23657,28377,745,1017
93230,2024-07-20T16:57:47,23657,28377,745,1017
93230,2024-07-20T16:57:48,23658,28377,746,1017
93230,2024-07-20T16:57:49,23658,28377,746,1017
94084,2024-07-20T16:57:50,23658,28377,746,1017
94084,2024-07-20T16:57:51,23658,28377,746,1017
94084,2024-07-20T16:57:53,23658,28377,746,1017
91174,2024-07-20T16:57:54,23658,28377,746,1017
91174,2024-07-20T16:57:55,23658,28377,746,1017
91174,2024-07-20T16:57:56,23658,28377,746,1017
88018,2024-07-20T16:57:57,23658,28377,746,1017
88018,2024-07-20T16:57:58,23658,28377,746,1017
76427,2024-07-20T16:57:59,23658,28377,746,1017
76427,2024-07-20T16:58:00,23658,28378,746,1018
76427,2024-07-20T16:58:01,23658,28378,746,1018
61725,2024-07-20T16:58:02,23658,28378,746,1018
61725,2024-07-20T16:58:03,23658,28378,746,1018
61725,2024-07-20T16:58:04,23658,28378,746,1018
45825,2024-07-20T16:58:05,23658,28378,746,1018
45825,2024-07-20T16:58:06,23658,28378,746,1018
45825,2024-07-20T16:58:08,23658,28378,746,1018
47842,2024-07-20T16:58:09,23658,28378,746,1018
47842,2024-07-20T16:58:10,23658,28378,746,1018
47842,2024-07-20T16:58:11,23658,28378,746,1018
51277,2024-07-20T16:58:12,23658,28378,746,1018
51277,2024-07-20T16:58:13,23658,28378,746,1018
54793,2024-07-20T16:58:14,23658,28378,746,1018
54793,2024-07-20T16:58:15,23658,28378,746,1018
54793,2024-07-20T16:58:16,23658,28378,746,1018
60989,2024-07-20T16:58:17,23658,28378,746,1018
60989,2024-07-20T16:58:18,23658,28378,746,1018
60989,2024-07-20T16:58:20,23658,28378,746,1018
53702,2024-07-20T16:58:21,23658,28378,746,1018
53702,2024-07-20T16:58:22,23658,28378,746,1018
53702,2024-07-20T16:58:23,23658,28378,746,1018
52518,2024-07-20T16:58:24,23658,28378,746,1018
52518,2024-07-20T16:58:25,23658,28378,746,1018
42349,2024-07-20T16:58:26,23658,28378,746,1018
42349,2024-07-20T16:58:27,23658,28378,746,1018
42349,2024-07-20T16:58:28,23658,28378,746,1018
47316,2024-07-20T16:58:29,23658,28378,746,1018
47316,2024-07-20T16:58:30,23658,28378,746,1018
47316,2024-07-20T16:58:31,23658,28378,746,1018
53938,2024-07-20T16:58:32,23658,28378,746,1018
53938,2024-07-20T16:58:33,23658,28378,746,1018
53938,2024-07-20T16:58:35,23658,28378,746,1018
46251,2024-07-20T16:58:36,23658,28378,746,1018
46251,2024-07-20T16:58:37,23658,28378,746,1018
46251,2024-07-20T16:58:38,23658,28378,746,1018
43396,2024-07-20T16:58:39,23658,28378,746,1018
43396,2024-07-20T16:58:40,23658,28378,746,1018
58480,2024-07-20T16:58:41,23658,28378,746,1018
58480,2024-07-20T16:58:42,23658,28378,746,1018
58480,2024-07-20T16:58:43,23658,28378,746,1018
50638,2024-07-20T16:58:44,23658,28378,746,1018
50638,2024-07-20T16:58:45,23658,28378,746,1018
50638,2024-07-20T16:58:46,23658,28378,746,1018
40134,2024-07-20T16:58:48,23658,28378,746,1018
40134,2024-07-20T16:58:49,23658,28378,746,1018
40134,2024-07-20T16:58:50,23658,28378,746,1018
47172,2024-07-20T16:58:51,23659,28378,747,1018
47172,2024-07-20T16:58:52,23659,28378,747,1018
53559,2024-07-20T16:58:53,23659,28378,747,1018
53559,2024-07-20T16:58:54,23659,28378,747,1018
53559,2024-07-20T16:58:55,23659,28378,747,1018
