current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7593,2024-07-20T15:56:35,23557,28316,645,956
7593,2024-07-20T15:56:36,23557,28316,645,956
261682,2024-07-20T15:56:37,23557,28316,645,956
261682,2024-07-20T15:56:38,23557,28316,645,956
261682,2024-07-20T15:56:40,23557,28316,645,956
260021,2024-07-20T15:56:41,23557,28316,645,956
260021,2024-07-20T15:56:42,23557,28316,645,956
260021,2024-07-20T15:56:43,23557,28316,645,956
258930,2024-07-20T15:56:44,23557,28316,645,956
258930,2024-07-20T15:56:45,23558,28316,646,956
258930,2024-07-20T15:56:46,23558,28316,646,956
258006,2024-07-20T15:56:47,23558,28316,646,956
258006,2024-07-20T15:56:48,23558,28316,646,956
258006,2024-07-20T15:56:49,23558,28316,646,956
257162,2024-07-20T15:56:50,23558,28316,646,956
257162,2024-07-20T15:56:51,23558,28316,646,956
256328,2024-07-20T15:56:52,23558,28316,646,956
256328,2024-07-20T15:56:53,23558,28316,646,956
256328,2024-07-20T15:56:55,23558,28316,646,956
255608,2024-07-20T15:56:56,23558,28316,646,956
255608,2024-07-20T15:56:57,23558,28316,646,956
255608,2024-07-20T15:56:58,23558,28316,646,956
254837,2024-07-20T15:56:59,23559,28316,647,956
254837,2024-07-20T15:57:00,23559,28317,647,957
254837,2024-07-20T15:57:01,23559,28317,647,957
254134,2024-07-20T15:57:02,23559,28317,647,957
254134,2024-07-20T15:57:03,23559,28317,647,957
254134,2024-07-20T15:57:04,23559,28317,647,957
229780,2024-07-20T15:57:05,23559,28317,647,957
229780,2024-07-20T15:57:06,23559,28317,647,957
180411,2024-07-20T15:57:07,23559,28317,647,957
180411,2024-07-20T15:57:09,23559,28317,647,957
180411,2024-07-20T15:57:10,23559,28317,647,957
136969,2024-07-20T15:57:11,23559,28317,647,957
136969,2024-07-20T15:57:12,23559,28317,647,957
136969,2024-07-20T15:57:13,23559,28317,647,957
109569,2024-07-20T15:57:14,23559,28317,647,957
109569,2024-07-20T15:57:15,23559,28317,647,957
109569,2024-07-20T15:57:16,23559,28317,647,957
92521,2024-07-20T15:57:17,23559,28317,647,957
92521,2024-07-20T15:57:18,23559,28317,647,957
94103,2024-07-20T15:57:19,23559,28317,647,957
94103,2024-07-20T15:57:20,23559,28317,647,957
94103,2024-07-20T15:57:21,23560,28317,648,957
94057,2024-07-20T15:57:22,23560,28317,648,957
94057,2024-07-20T15:57:24,23560,28317,648,957
94057,2024-07-20T15:57:25,23560,28317,648,957
85712,2024-07-20T15:57:26,23560,28317,648,957
85712,2024-07-20T15:57:27,23560,28317,648,957
85712,2024-07-20T15:57:28,23560,28317,648,957
71387,2024-07-20T15:57:29,23560,28317,648,957
71387,2024-07-20T15:57:30,23560,28317,648,957
71387,2024-07-20T15:57:31,23560,28317,648,957
55192,2024-07-20T15:57:32,23560,28317,648,957
55192,2024-07-20T15:57:33,23560,28317,648,957
49916,2024-07-20T15:57:34,23560,28317,648,957
49916,2024-07-20T15:57:35,23560,28317,648,957
49916,2024-07-20T15:57:36,23560,28317,648,957
49339,2024-07-20T15:57:37,23560,28317,648,957
49339,2024-07-20T15:57:39,23560,28317,648,957
49339,2024-07-20T15:57:40,23560,28317,648,957
54851,2024-07-20T15:57:41,23560,28317,648,957
54851,2024-07-20T15:57:42,23560,28317,648,957
54851,2024-07-20T15:57:43,23560,28317,648,957
57240,2024-07-20T15:57:44,23560,28317,648,957
57240,2024-07-20T15:57:45,23560,28317,648,957
57240,2024-07-20T15:57:46,23560,28317,648,957
57710,2024-07-20T15:57:47,23560,28317,648,957
57710,2024-07-20T15:57:48,23560,28317,648,957
56051,2024-07-20T15:57:49,23560,28317,648,957
56051,2024-07-20T15:57:50,23560,28317,648,957
56051,2024-07-20T15:57:52,23560,28317,648,957
44367,2024-07-20T15:57:53,23560,28317,648,957
44367,2024-07-20T15:57:54,23560,28317,648,957
44367,2024-07-20T15:57:55,23560,28317,648,957
45583,2024-07-20T15:57:56,23560,28317,648,957
45583,2024-07-20T15:57:57,23560,28317,648,957
45583,2024-07-20T15:57:58,23560,28317,648,957
50272,2024-07-20T15:57:59,23560,28317,648,957
50272,2024-07-20T15:58:00,23560,28318,648,958
50272,2024-07-20T15:58:01,23560,28318,648,958
53060,2024-07-20T15:58:02,23560,28318,648,958
53060,2024-07-20T15:58:03,23560,28318,648,958
45931,2024-07-20T15:58:04,23560,28318,648,958
45931,2024-07-20T15:58:06,23560,28318,648,958
45931,2024-07-20T15:58:07,23560,28318,648,958
39480,2024-07-20T15:58:08,23560,28318,648,958
39480,2024-07-20T15:58:09,23560,28318,648,958
39480,2024-07-20T15:58:10,23560,28318,648,958
41920,2024-07-20T15:58:11,23560,28318,648,958
41920,2024-07-20T15:58:12,23560,28318,648,958
41920,2024-07-20T15:58:13,23560,28318,648,958
54625,2024-07-20T15:58:14,23560,28318,648,958
54625,2024-07-20T15:58:15,23560,28318,648,958
48766,2024-07-20T15:58:16,23560,28318,648,958
48766,2024-07-20T15:58:17,23560,28318,648,958
48766,2024-07-20T15:58:19,23560,28318,648,958
48783,2024-07-20T15:58:20,23560,28318,648,958
48783,2024-07-20T15:58:21,23560,28318,648,958
48783,2024-07-20T15:58:22,23560,28318,648,958
58362,2024-07-20T15:58:23,23560,28318,648,958
58362,2024-07-20T15:58:24,23560,28318,648,958
58362,2024-07-20T15:58:25,23560,28318,648,958
51732,2024-07-20T15:58:26,23560,28318,648,958
51732,2024-07-20T15:58:27,23561,28318,649,958
51732,2024-07-20T15:58:28,23561,28318,649,958
59530,2024-07-20T15:58:29,23561,28318,649,958
59530,2024-07-20T15:58:30,23561,28318,649,958
62645,2024-07-20T15:58:31,23561,28318,649,958
62645,2024-07-20T15:58:33,23561,28318,649,958
62645,2024-07-20T15:58:34,23561,28318,649,958
58661,2024-07-20T15:58:35,23561,28318,649,958
58661,2024-07-20T15:58:36,23561,28318,649,958
58661,2024-07-20T15:58:37,23561,28318,649,958
55065,2024-07-20T15:58:38,23561,28318,649,958
55065,2024-07-20T15:58:39,23561,28318,649,958
55065,2024-07-20T15:58:40,23561,28318,649,958
58821,2024-07-20T15:58:41,23561,28318,649,958
58821,2024-07-20T15:58:42,23561,28318,649,958
58821,2024-07-20T15:58:43,23561,28318,649,958
55582,2024-07-20T15:58:44,23561,28318,649,958
55582,2024-07-20T15:58:45,23561,28318,649,958
46667,2024-07-20T15:58:47,23561,28318,649,958
46667,2024-07-20T15:58:48,23561,28318,649,958
46667,2024-07-20T15:58:49,23561,28318,649,958
73499,2024-07-20T15:58:50,23561,28318,649,958
73499,2024-07-20T15:58:51,23561,28318,649,958
73499,2024-07-20T15:58:52,23561,28318,649,958
57423,2024-07-20T15:58:53,23561,28318,649,958
57423,2024-07-20T15:58:54,23561,28318,649,958
57423,2024-07-20T15:58:55,23561,28318,649,958
63028,2024-07-20T15:58:56,23561,28318,649,958
63028,2024-07-20T15:58:57,23561,28318,649,958
73088,2024-07-20T15:58:58,23561,28318,649,958
73088,2024-07-20T15:58:59,23561,28318,649,958
73088,2024-07-20T15:59:01,23561,28319,649,959
70864,2024-07-20T15:59:02,23561,28319,649,959
70864,2024-07-20T15:59:03,23561,28319,649,959
70864,2024-07-20T15:59:04,23561,28319,649,959
63253,2024-07-20T15:59:05,23561,28319,649,959
63253,2024-07-20T15:59:06,23561,28319,649,959
63253,2024-07-20T15:59:07,23561,28319,649,959
47893,2024-07-20T15:59:08,23561,28319,649,959
47893,2024-07-20T15:59:09,23561,28319,649,959
47893,2024-07-20T15:59:10,23561,28319,649,959
49150,2024-07-20T15:59:11,23561,28319,649,959
49150,2024-07-20T15:59:12,23561,28319,649,959
53685,2024-07-20T15:59:13,23561,28319,649,959
53685,2024-07-20T15:59:15,23561,28319,649,959
53685,2024-07-20T15:59:16,23561,28319,649,959
62352,2024-07-20T15:59:17,23561,28319,649,959
62352,2024-07-20T15:59:18,23561,28319,649,959
62352,2024-07-20T15:59:19,23561,28319,649,959
69343,2024-07-20T15:59:20,23561,28319,649,959
69343,2024-07-20T15:59:21,23561,28319,649,959
69343,2024-07-20T15:59:22,23561,28319,649,959
70517,2024-07-20T15:59:23,23561,28319,649,959
70517,2024-07-20T15:59:24,23561,28319,649,959
70517,2024-07-20T15:59:25,23561,28319,649,959
67931,2024-07-20T15:59:26,23562,28319,650,959
67931,2024-07-20T15:59:27,23562,28319,650,959
51907,2024-07-20T15:59:28,23562,28319,650,959
51907,2024-07-20T15:59:30,23562,28319,650,959
51907,2024-07-20T15:59:31,23562,28319,650,959
58439,2024-07-20T15:59:32,23562,28319,650,959
58439,2024-07-20T15:59:33,23562,28319,650,959
58439,2024-07-20T15:59:34,23562,28319,650,959
63909,2024-07-20T15:59:35,23562,28319,650,959
63909,2024-07-20T15:59:36,23562,28319,650,959
63909,2024-07-20T15:59:37,23562,28319,650,959
65105,2024-07-20T15:59:38,23562,28319,650,959
65105,2024-07-20T15:59:39,23562,28319,650,959
65105,2024-07-20T15:59:40,23562,28319,650,959
67783,2024-07-20T15:59:41,23562,28319,650,959
