current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7597,2024-07-20T17:15:08,23682,28395,770,1035
7597,2024-07-20T17:15:09,23682,28395,770,1035
228601,2024-07-20T17:15:10,23682,28395,770,1035
228601,2024-07-20T17:15:12,23682,28395,770,1035
228601,2024-07-20T17:15:13,23682,28395,770,1035
255216,2024-07-20T17:15:14,23682,28395,770,1035
255216,2024-07-20T17:15:15,23682,28395,770,1035
255216,2024-07-20T17:15:16,23682,28395,770,1035
254236,2024-07-20T17:15:17,23683,28395,771,1035
254236,2024-07-20T17:15:18,23683,28395,771,1035
254236,2024-07-20T17:15:19,23683,28395,771,1035
253358,2024-07-20T17:15:20,23683,28395,771,1035
253358,2024-07-20T17:15:21,23683,28395,771,1035
224809,2024-07-20T17:15:22,23683,28395,771,1035
224809,2024-07-20T17:15:23,23683,28395,771,1035
224809,2024-07-20T17:15:24,23683,28395,771,1035
137639,2024-07-20T17:15:26,23683,28395,771,1035
137639,2024-07-20T17:15:27,23683,28395,771,1035
137639,2024-07-20T17:15:28,23683,28395,771,1035
64256,2024-07-20T17:15:29,23683,28395,771,1035
64256,2024-07-20T17:15:30,23683,28395,771,1035
64256,2024-07-20T17:15:31,23683,28395,771,1035
55026,2024-07-20T17:15:32,23683,28395,771,1035
55026,2024-07-20T17:15:33,23683,28395,771,1035
55026,2024-07-20T17:15:34,23683,28395,771,1035
89780,2024-07-20T17:15:35,23683,28395,771,1035
89780,2024-07-20T17:15:36,23683,28395,771,1035
106587,2024-07-20T17:15:37,23683,28395,771,1035
106587,2024-07-20T17:15:39,23683,28395,771,1035
106587,2024-07-20T17:15:40,23683,28395,771,1035
102951,2024-07-20T17:15:41,23683,28395,771,1035
102951,2024-07-20T17:15:42,23683,28395,771,1035
102951,2024-07-20T17:15:43,23683,28395,771,1035
87126,2024-07-20T17:15:44,23683,28395,771,1035
87126,2024-07-20T17:15:45,23683,28395,771,1035
87126,2024-07-20T17:15:46,23684,28395,772,1035
59316,2024-07-20T17:15:47,23684,28395,772,1035
59316,2024-07-20T17:15:48,23684,28395,772,1035
59316,2024-07-20T17:15:49,23684,28395,772,1035
44663,2024-07-20T17:15:50,23684,28395,772,1035
44663,2024-07-20T17:15:51,23684,28395,772,1035
54231,2024-07-20T17:15:52,23684,28395,772,1035
54231,2024-07-20T17:15:54,23684,28395,772,1035
54231,2024-07-20T17:15:55,23684,28395,772,1035
55382,2024-07-20T17:15:56,23684,28395,772,1035
55382,2024-07-20T17:15:57,23684,28395,772,1035
55382,2024-07-20T17:15:58,23684,28395,772,1035
51505,2024-07-20T17:15:59,23684,28395,772,1035
51505,2024-07-20T17:16:00,23684,28396,772,1036
51505,2024-07-20T17:16:01,23684,28396,772,1036
52006,2024-07-20T17:16:02,23684,28396,772,1036
52006,2024-07-20T17:16:03,23684,28396,772,1036
52006,2024-07-20T17:16:04,23684,28396,772,1036
55006,2024-07-20T17:16:05,23684,28396,772,1036
55006,2024-07-20T17:16:06,23684,28396,772,1036
71658,2024-07-20T17:16:07,23684,28396,772,1036
71658,2024-07-20T17:16:09,23684,28396,772,1036
71658,2024-07-20T17:16:10,23684,28396,772,1036
72516,2024-07-20T17:16:11,23684,28396,772,1036
72516,2024-07-20T17:16:12,23684,28396,772,1036
72516,2024-07-20T17:16:13,23684,28396,772,1036
49255,2024-07-20T17:16:14,23684,28396,772,1036
49255,2024-07-20T17:16:15,23684,28396,772,1036
49255,2024-07-20T17:16:16,23684,28396,772,1036
37961,2024-07-20T17:16:17,23684,28396,772,1036
37961,2024-07-20T17:16:18,23684,28396,772,1036
37961,2024-07-20T17:16:19,23684,28396,772,1036
44992,2024-07-20T17:16:20,23684,28396,772,1036
44992,2024-07-20T17:16:21,23684,28396,772,1036
51414,2024-07-20T17:16:22,23684,28396,772,1036
51414,2024-07-20T17:16:24,23684,28396,772,1036
51414,2024-07-20T17:16:25,23684,28396,772,1036
50482,2024-07-20T17:16:26,23684,28396,772,1036
50482,2024-07-20T17:16:27,23684,28396,772,1036
50482,2024-07-20T17:16:28,23684,28396,772,1036
59837,2024-07-20T17:16:29,23684,28396,772,1036
59837,2024-07-20T17:16:30,23684,28396,772,1036
59837,2024-07-20T17:16:31,23684,28396,772,1036
46533,2024-07-20T17:16:32,23684,28396,772,1036
46533,2024-07-20T17:16:33,23684,28396,772,1036
46533,2024-07-20T17:16:34,23684,28396,772,1036
40874,2024-07-20T17:16:35,23684,28396,772,1036
40874,2024-07-20T17:16:36,23684,28396,772,1036
48897,2024-07-20T17:16:37,23684,28396,772,1036
48897,2024-07-20T17:16:39,23684,28396,772,1036
48897,2024-07-20T17:16:40,23684,28396,772,1036
55254,2024-07-20T17:16:41,23684,28396,772,1036
55254,2024-07-20T17:16:42,23684,28396,772,1036
55254,2024-07-20T17:16:43,23684,28396,772,1036
58868,2024-07-20T17:16:44,23684,28396,772,1036
58868,2024-07-20T17:16:45,23684,28396,772,1036
58868,2024-07-20T17:16:46,23684,28396,772,1036
53089,2024-07-20T17:16:47,23684,28396,772,1036
53089,2024-07-20T17:16:48,23684,28396,772,1036
53089,2024-07-20T17:16:49,23684,28396,772,1036
54282,2024-07-20T17:16:50,23684,28396,772,1036
54282,2024-07-20T17:16:51,23684,28396,772,1036
56652,2024-07-20T17:16:53,23684,28396,772,1036
56652,2024-07-20T17:16:54,23684,28396,772,1036
56652,2024-07-20T17:16:55,23685,28396,773,1036
59195,2024-07-20T17:16:56,23685,28396,773,1036
59195,2024-07-20T17:16:57,23685,28396,773,1036
59195,2024-07-20T17:16:58,23685,28396,773,1036
56279,2024-07-20T17:16:59,23685,28396,773,1036
56279,2024-07-20T17:17:00,23685,28397,773,1037
56279,2024-07-20T17:17:01,23685,28397,773,1037
49507,2024-07-20T17:17:02,23685,28397,773,1037
49507,2024-07-20T17:17:03,23685,28397,773,1037
49507,2024-07-20T17:17:04,23685,28397,773,1037
54898,2024-07-20T17:17:05,23685,28397,773,1037
54898,2024-07-20T17:17:06,23685,28397,773,1037
57246,2024-07-20T17:17:08,23685,28397,773,1037
57246,2024-07-20T17:17:09,23685,28397,773,1037
57246,2024-07-20T17:17:10,23685,28397,773,1037
62102,2024-07-20T17:17:11,23685,28397,773,1037
62102,2024-07-20T17:17:12,23685,28397,773,1037
62102,2024-07-20T17:17:13,23685,28397,773,1037
59268,2024-07-20T17:17:14,23685,28397,773,1037
59268,2024-07-20T17:17:15,23685,28397,773,1037
59268,2024-07-20T17:17:16,23685,28397,773,1037
60920,2024-07-20T17:17:17,23685,28397,773,1037
60920,2024-07-20T17:17:18,23685,28397,773,1037
53042,2024-07-20T17:17:19,23685,28397,773,1037
53042,2024-07-20T17:17:21,23685,28397,773,1037
53042,2024-07-20T17:17:22,23685,28397,773,1037
52869,2024-07-20T17:17:23,23685,28397,773,1037
52869,2024-07-20T17:17:24,23685,28397,773,1037
52869,2024-07-20T17:17:25,23685,28397,773,1037
64146,2024-07-20T17:17:26,23685,28397,773,1037
64146,2024-07-20T17:17:27,23685,28397,773,1037
64146,2024-07-20T17:17:28,23685,28397,773,1037
72759,2024-07-20T17:17:29,23685,28397,773,1037
72759,2024-07-20T17:17:30,23685,28397,773,1037
72759,2024-07-20T17:17:31,23685,28397,773,1037
73607,2024-07-20T17:17:32,23685,28397,773,1037
73607,2024-07-20T17:17:33,23685,28397,773,1037
61765,2024-07-20T17:17:34,23685,28397,773,1037
61765,2024-07-20T17:17:36,23685,28397,773,1037
61765,2024-07-20T17:17:37,23685,28397,773,1037
49651,2024-07-20T17:17:38,23685,28397,773,1037
49651,2024-07-20T17:17:39,23685,28397,773,1037
49651,2024-07-20T17:17:40,23685,28397,773,1037
50264,2024-07-20T17:17:41,23685,28397,773,1037
50264,2024-07-20T17:17:42,23685,28397,773,1037
50264,2024-07-20T17:17:43,23685,28397,773,1037
65536,2024-07-20T17:17:44,23685,28397,773,1037
65536,2024-07-20T17:17:45,23685,28397,773,1037
65536,2024-07-20T17:17:46,23685,28397,773,1037
72786,2024-07-20T17:17:47,23685,28397,773,1037
72786,2024-07-20T17:17:48,23685,28397,773,1037
67945,2024-07-20T17:17:50,23685,28397,773,1037
67945,2024-07-20T17:17:51,23685,28397,773,1037
67945,2024-07-20T17:17:52,23685,28397,773,1037
57656,2024-07-20T17:17:53,23685,28397,773,1037
57656,2024-07-20T17:17:54,23686,28397,774,1037
57656,2024-07-20T17:17:55,23686,28397,774,1037
49239,2024-07-20T17:17:56,23686,28397,774,1037
49239,2024-07-20T17:17:57,23686,28397,774,1037
49239,2024-07-20T17:17:58,23686,28397,774,1037
54606,2024-07-20T17:17:59,23686,28397,774,1037
54606,2024-07-20T17:18:00,23686,28398,774,1038
54606,2024-07-20T17:18:01,23686,28398,774,1038
61998,2024-07-20T17:18:03,23686,28398,774,1038
61998,2024-07-20T17:18:04,23686,28398,774,1038
65697,2024-07-20T17:18:05,23686,28398,774,1038
65697,2024-07-20T17:18:06,23686,28398,774,1038
65697,2024-07-20T17:18:07,23686,28398,774,1038
70479,2024-07-20T17:18:08,23686,28398,774,1038
70479,2024-07-20T17:18:09,23686,28398,774,1038
70479,2024-07-20T17:18:10,23686,28398,774,1038
73925,2024-07-20T17:18:11,23686,28398,774,1038
73925,2024-07-20T17:18:12,23686,28398,774,1038
73925,2024-07-20T17:18:13,23686,28398,774,1038
65726,2024-07-20T17:18:14,23686,28398,774,1038
65726,2024-07-20T17:18:15,23686,28398,774,1038
65726,2024-07-20T17:18:17,23686,28398,774,1038
60736,2024-07-20T17:18:18,23686,28398,774,1038
60736,2024-07-20T17:18:19,23686,28398,774,1038
56393,2024-07-20T17:18:20,23686,28398,774,1038
56393,2024-07-20T17:18:21,23686,28398,774,1038
56393,2024-07-20T17:18:22,23686,28398,774,1038
63454,2024-07-20T17:18:23,23686,28398,774,1038
63454,2024-07-20T17:18:24,23686,28398,774,1038
63454,2024-07-20T17:18:25,23686,28398,774,1038
77970,2024-07-20T17:18:26,23686,28398,774,1038
77970,2024-07-20T17:18:27,23686,28398,774,1038
77970,2024-07-20T17:18:28,23686,28398,774,1038
68054,2024-07-20T17:18:29,23686,28398,774,1038
68054,2024-07-20T17:18:31,23686,28398,774,1038
61886,2024-07-20T17:18:32,23686,28398,774,1038
61886,2024-07-20T17:18:33,23686,28398,774,1038
61886,2024-07-20T17:18:34,23686,28398,774,1038
52692,2024-07-20T17:18:35,23686,28398,774,1038
52692,2024-07-20T17:18:36,23686,28398,774,1038
52692,2024-07-20T17:18:37,23686,28398,774,1038
52645,2024-07-20T17:18:38,23686,28398,774,1038
52645,2024-07-20T17:18:39,23686,28398,774,1038
52645,2024-07-20T17:18:40,23686,28398,774,1038
51330,2024-07-20T17:18:41,23686,28398,774,1038
51330,2024-07-20T17:18:42,23686,28398,774,1038
51330,2024-07-20T17:18:43,23686,28398,774,1038
62289,2024-07-20T17:18:45,23686,28398,774,1038
62289,2024-07-20T17:18:46,23686,28398,774,1038
71978,2024-07-20T17:18:47,23686,28398,774,1038
71978,2024-07-20T17:18:48,23686,28398,774,1038
71978,2024-07-20T17:18:49,23686,28398,774,1038
49819,2024-07-20T17:18:50,23686,28398,774,1038
49819,2024-07-20T17:18:51,23686,28398,774,1038
49819,2024-07-20T17:18:52,23686,28398,774,1038
52013,2024-07-20T17:18:53,23687,28398,775,1038
52013,2024-07-20T17:18:54,23687,28398,775,1038
52013,2024-07-20T17:18:55,23687,28398,775,1038
58418,2024-07-20T17:18:56,23687,28398,775,1038
58418,2024-07-20T17:18:58,23687,28398,775,1038
61020,2024-07-20T17:18:59,23687,28398,775,1038
