current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7652,2024-07-15T18:08:57,16494,21248,554,1088
7652,2024-07-15T18:08:58,16494,21248,554,1088
7652,2024-07-15T18:08:59,16494,21248,554,1088
264078,2024-07-15T18:09:00,16494,21249,554,1089
264078,2024-07-15T18:09:01,16494,21249,554,1089
262440,2024-07-15T18:09:02,16494,21249,554,1089
262440,2024-07-15T18:09:03,16494,21249,554,1089
262440,2024-07-15T18:09:04,16494,21249,554,1089
261346,2024-07-15T18:09:05,16494,21249,554,1089
261346,2024-07-15T18:09:06,16494,21249,554,1089
261346,2024-07-15T18:09:07,16494,21249,554,1089
260293,2024-07-15T18:09:09,16495,21249,555,1089
260293,2024-07-15T18:09:10,16495,21249,555,1089
260293,2024-07-15T18:09:11,16495,21249,555,1089
259394,2024-07-15T18:09:12,16495,21249,555,1089
259394,2024-07-15T18:09:13,16495,21249,555,1089
258549,2024-07-15T18:09:14,16495,21249,555,1089
258549,2024-07-15T18:09:15,16495,21249,555,1089
258549,2024-07-15T18:09:16,16495,21249,555,1089
257654,2024-07-15T18:09:17,16495,21249,555,1089
257654,2024-07-15T18:09:18,16495,21249,555,1089
257654,2024-07-15T18:09:19,16495,21249,555,1089
257004,2024-07-15T18:09:21,16495,21249,555,1089
257004,2024-07-15T18:09:22,16495,21249,555,1089
257004,2024-07-15T18:09:23,16496,21249,556,1089
256074,2024-07-15T18:09:24,16496,21249,556,1089
256074,2024-07-15T18:09:25,16496,21249,556,1089
255371,2024-07-15T18:09:26,16496,21249,556,1089
255371,2024-07-15T18:09:27,16496,21249,556,1089
255371,2024-07-15T18:09:28,16496,21249,556,1089
254711,2024-07-15T18:09:29,16496,21249,556,1089
254711,2024-07-15T18:09:30,16496,21249,556,1089
254711,2024-07-15T18:09:31,16496,21249,556,1089
241843,2024-07-15T18:09:33,16496,21249,556,1089
241843,2024-07-15T18:09:34,16496,21249,556,1089
241843,2024-07-15T18:09:35,16496,21249,556,1089
227854,2024-07-15T18:09:36,16496,21249,556,1089
227854,2024-07-15T18:09:37,16496,21249,556,1089
223072,2024-07-15T18:09:38,16497,21249,557,1089
223072,2024-07-15T18:09:39,16497,21249,557,1089
223072,2024-07-15T18:09:40,16497,21249,557,1089
188694,2024-07-15T18:09:41,16497,21249,557,1089
188694,2024-07-15T18:09:42,16497,21249,557,1089
188694,2024-07-15T18:09:44,16497,21249,557,1089
142374,2024-07-15T18:09:45,16497,21249,557,1089
142374,2024-07-15T18:09:46,16497,21249,557,1089
108206,2024-07-15T18:09:47,16497,21249,557,1089
108206,2024-07-15T18:09:48,16497,21249,557,1089
108206,2024-07-15T18:09:49,16497,21249,557,1089
83541,2024-07-15T18:09:50,16497,21249,557,1089
83541,2024-07-15T18:09:51,16497,21249,557,1089
83541,2024-07-15T18:09:52,16497,21249,557,1089
81151,2024-07-15T18:09:54,16497,21249,557,1089
81151,2024-07-15T18:09:55,16497,21249,557,1089
81151,2024-07-15T18:09:56,16497,21249,557,1089
79047,2024-07-15T18:09:57,16497,21249,557,1089
79047,2024-07-15T18:09:58,16497,21249,557,1089
71292,2024-07-15T18:09:59,16497,21249,557,1089
71292,2024-07-15T18:10:00,16497,21250,557,1090
71292,2024-07-15T18:10:01,16497,21250,557,1090
63258,2024-07-15T18:10:02,16497,21250,557,1090
63258,2024-07-15T18:10:03,16497,21250,557,1090
63258,2024-07-15T18:10:04,16497,21250,557,1090
62554,2024-07-15T18:10:05,16497,21250,557,1090
62554,2024-07-15T18:10:07,16497,21250,557,1090
62554,2024-07-15T18:10:08,16497,21250,557,1090
54639,2024-07-15T18:10:09,16497,21250,557,1090
54639,2024-07-15T18:10:10,16497,21250,557,1090
54639,2024-07-15T18:10:11,16497,21250,557,1090
42152,2024-07-15T18:10:12,16497,21250,557,1090
